record_id,person_group,group_size,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
210,Person 25,6,dominic,,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,83802
808,Person 25,6,dominic,flockhart,2.0,oxley street,clear creek,norhtgate,3000,wa,19890621.0,5173538,60536
1695,Person 25,6,dominic,flockhart,2.0,oxley street,clear creek,northgate,3000,wa,19890621.0,5173538,28632
2528,Person 25,6,dominic,flockhart,2.0,oxley steret,clear creek,nortngate,3000,wa,19890621.0,5173538,51384
161,Person 26,6,jonah,nguyen,8.0,dalley crescent,the palms village,kingary,2607,nsw,19591019.0,9550440,7600
698,Person 26,6,jonai,nguyen,8.0,dalley crescent,the palms village,kingaroy,2607,nsw,19591019.0,9550940,24240
868,Person 26,6,jonah,nguyen,8.0,dalley crescent,,kingaroy,2607,nsw,19591019.0,9550440,27842
1071,Person 26,6,tara,ngyen,8.0,dalley crescent,the palms village,kingaroy,2607,nsw,19591019.0,9550440,29589
1335,Person 26,6,,nguyen,8.0,dalleycrescent,the palms village,edgewaetr,2607,nsw,19591019.0,9550440,26236
1358,Person 26,6,jonah,nguyen,8.0,dalley crescent,the palms village,kingaroy,2607,nsw,19591019.0,9550440,10315
164,Person 27,6,kate,rawlings,70.0,corin place,oxfodrd,kuraby,4216,qld,19330925.0,2464828,34803
788,Person 27,6,connor,rawlings,70.0,corin pace,oxford,kuraby,4216,qld,19330925.0,2464828,45835
856,Person 27,6,connor,rawlings,70.0,corin place,oxford,kuraby,4216,qld,19330925.0,2464828,78481
1208,Person 27,6,connor,millar,70.0,corin p lace,,kuraby,4216,qld,19330925.0,2464828,33592
2848,Person 27,6,connor,rawlings,70.0,,oxf ord,kuraby,4216,qld,19330925.0,2468428,5698
3225,Person 27,6,connor,rawlings,70.0,corin lpace,oxford,kuraby,4216,qld,19330925.0,2464828,76887
166,Person 28,6,hayden,covino,10.0,glengariffe,deamer cf escent,north ryde,2705,qld,19541104.0,2494239,96268
1992,Person 28,6,hayden,covino,10.0,deamer crescent,glengairffe,north ryde,2750,qld,19541104.0,2494239,37513
2694,Person 28,6,hayden,covino,10.0,deamer crescent,glengar iffe,north tyde,2750,qld,19541104.0,2494239,99125
3077,Person 28,6,hayden,covio,10.0,deamer crescent,iowanna,north ryde,2750,qld,19541104.0,2494239,39327
3269,Person 28,6,hayd en,covino,10.0,deamer crescent,glengariffe,north rude,2750,qld,19541104.0,2494239,17405
3615,Person 28,6,hayden,covino,10.0,deamer crescent,glengariffe,north ryde,2750,qld,19541104.0,2494239,32011
182,Person 29,6,lily,petersen,13.0,bissenberger crescent,,melville,2250,,19020326.0,3851124,42566
960,Person 29,6,lily,petersen,13.0,bissenberger crescent,,melville,2250,,19020326.0,3851424,82627
2138,Person 29,6,lily,mizon,13.0,bissenberg er crescent,railway stn,melvlile,2250,,19020326.0,3851424,40993
2471,Person 29,6,lily,petersen,13.0,bissenberge r crescent,railway stn,melville,2250,,19020326.0,3851424,71521
4427,Person 29,6,mitchell,petersen,13.0,bissenberger crescent,railway stn,melville,2250,,19020326.0,3851424,2753
4797,Person 29,6,lily,petersen,13.0,bissenberger crescent,railway stn,melville,2250,,19020326.0,3851424,69050
189,Person 30,6,jarod,mccarthy,63.0,henty street,moriah ifelds,,2166,nsw,19400529.0,6158276,89009
1191,Person 30,6,molly,mccarthy,63.0,kanbi lace,,osborne park,2166,nsw,19400529.0,6158276,32935
1215,Person 30,6,jard,mccarthy,18.0,kanbi place,thehomestead,osborne park,2166,nsw,19400529.0,6158276,71428
2239,Person 30,6,jatod,mccarthy,297.0,kanbipl ace,,osborne park,2166,nsw,19400029.0,6158276,92794
4077,Person 30,6,samuel,mccarthy,63.0,kanbi place,ponderosa,osborne park,2166,nsw,19400529.0,6158276,15650
4078,Person 30,6,jarod,mccarthy,63.0,kanbi place,,osborne park,2166,nsw,19400529.0,6158276,65267
190,Person 31,6,erin,humphreys,11.0,endeavour street,lake macquzrie vlge,umina beach,4873,nsw,19670519.0,9387932,18515
209,Person 31,6,erin,humphreys,11.0,endeavour street,lake macquaire vlge,elanora heights,4874,nsw,19670519.0,5094045,93815
932,Person 31,6,erni,humphreys,11.0,endeavour street,lake macqupride vlge,umina beach,4873,nsw,19670519.0,5094045,92653
3945,Person 31,6,erin,humphreys,11.0,endeavour street,lake macquarie vlge,umina beach,4873,nsw,19670519.0,5094045,89441
4631,Person 31,6,erin,humphreys,11.0,stonehaven crescent,,umina breach,4873,nsw,19670519.0,5094045,21830
4802,Person 31,6,erin,humpjeys,11.0,endeavour street,,umina beach,4873,nsw,19670519.0,5094045,67238
194,Person 32,6,eliza,mason,57.0,kennedy sreet,brentwodo vlge,bundamba,4067,tas,19071124.0,3004030,74888
1164,Person 32,6,elixa,mason,57.0,kennedy street,brentwoodl vlge,bundabma,4076,tas,19071124.0,3004030,93041
2114,Person 32,6,eliza,mason,57.0,kennedy street,brentwo do vlge,bundamba,4067,tas,19071124.0,3004030,53233
2522,Person 32,6,eliza,mason,57.0,kennedy street,brentwood vlge,bundamba,4067,tas,19071124.0,3004030,14146
3869,Person 32,6,ashlee,amson,57.0,kenned y srreet,brentwood vlge,bundamba,4067,tas,19071124.0,3004030,9505
4039,Person 32,6,elgza,mason,57.0,kennedy nstreet,brentwood vlge,bundaba,4067,tas,19071124.0,3004030,24441
196,Person 33,6,lauren,paine,27.0,mcvey pace,yambira,helid on,2776,qld,19440502.0,4517134,2226
551,Person 33,6,lauern,paine,27.0,mcvey olace,yambira,helidon,2463,qld,19404502.0,4517134,9773
2546,Person 33,6,lauren,paine,27.0,mcvey p lace,yambira,helidon,2463,qld,19440502.0,4517134,44434
3695,Person 33,6,lauren,paine,23.0,mcvey pnlace,yambira,mallacoota,2463,wa,19440502.0,4517134,38026
3922,Person 33,6,lauren,paine,3.0,mcveyplace,yambira,helidon,2463,qld,19440502.0,4517134,85756
4530,Person 33,6,lauren,paine,27.0,mcvey place,yambira,helidon,2463,qld,19440502.0,4517134,8297
198,Person 34,6,harrison,schumann,24.0,monaro crescent,donnelly rvr villg,oakleigh,2280,nsw,19991013.0,9551413,40875
742,Person 34,6,harrison,schumann,24.0,monaro crescent,donnelly rvr villg,oakleigh,2281,nsw,19991013.0,9551413,16959
1333,Person 34,6,harrison,schumann,24.0,monaro crescent,donnelly rvr villg,oakleigh,2820,nsw,19991013.0,9551413,9672
1668,Person 34,6,harrison,schuamnn,24.0,monaro crescent,donnelly rvr villg,oakleigh,2280,nsw,19991013.0,9551413,35505
3224,Person 34,6,schuman,alexandra,24.0,monaro crescent,,oakleigh,2280,nsw,19991013.0,9551413,77063
3261,Person 34,6,harrison,schumann,24.0,monaro crescent,donnellyr vr villg,oakleugh,2280,nsw,19991013.0,9551413,62286
201,Person 35,6,georgia,byersi,17.0,hilder street,,palmerston,4740,nse,19550530.0,6410415,6374
1289,Person 35,6,rachel,byers,17.0,hilder street,berowra,palmerston,4740,nsw,19550530.0,6410415,98705
1566,Person 35,6,rahcel,byers,17.0,,beroera,palmerston,4740,nsw,19550530.0,6410415,60795
2329,Person 35,6,rachel,byesr,17.0,hilder street,berorwa,palmerston,4740,nsw,19550530.0,6410415,48038
2869,Person 35,6,rachel,,17.0,hilder street,berowra,palmerston,4740,nsw,19550530.0,6410415,11881
3766,Person 35,6,rachyel,byers,17.0,hilder street,berowra,palmefrston,4740,nsw,19550530.0,6410415,89940
204,Person 36,6,jaco b,,24.0,downward place,banksia village,bunbury,4671,qld,19470530.0,3777070,28504
375,Person 36,6,kopievsky,jacob,24.0,downward place,banksia village,bunbury,4671,qld,19470530.0,3777070,92804
1277,Person 36,6,jacoxb,kopievsky,24.0,downward place,banksia village,bunbry,4671,qld,19470530.0,3777070,92475
3037,Person 36,6,jacob,kopievsky,24.0,downward place,banksiaivllage,bunbjry,4674,qld,19470530.0,3777070,54305
3565,Person 36,6,jacob,kopievsky,24.0,downward place,banksia village,bunbury,4671,qld,19470530.0,3777070,53664
4308,Person 36,6,jacob,kopievsky,24.0,downwardmplace,banksiavlilage,bunbury,4617,qld,19470530.0,3777070,1816
231,Person 37,6,jasmine,sach,17.0,goble s treet,ren own,gawler west,2031,nsw,19791109.0,2530372,21900
623,Person 37,6,jasmine,sach,1.0,goble street,renown,gawler qest,2031,nsw,19791109.0,2530372,67759
1056,Person 37,6,sach,jasmwine,1.0,goble street,renown,gawler west,2301,nsw,19791109.0,2530372,71189
1064,Person 37,6,jasmine,sah,1.0,goble street,renown,gawler west,2031,nsw,19791109.0,2530372,74915
1963,Person 37,6,jasmine,sach,1.0,goble street,renown,gawler west,2031,nsw,19791109.0,2530372,82973
2655,Person 37,6,pwige,sach,1.0,,renown,gawler west,2031,nsw,19791109.0,2530372,61284
239,Person 38,6,matthew,seddon,195.0,collingriddge street,port 366,paralowie,3830,nsw,19920305.0,6514580,51877
1758,Person 38,6,matthew,seddon,195.0,collingridge street,port 366,parakowie,3803,nsw,19920305.0,6514580,35733
2684,Person 38,6,matthew,seddon,195.0,collingridge street,port 366,paralowie,3803,nsw,19920305.0,6514580,11929
3005,Person 38,6,seddon,matthew,195.0,collingridge street,port 366,paralowie,3803,nsw,19920305.0,6514580,36786
4568,Person 38,6,matthew,seddon,195.0,collingridhe street,port3 66,paralowie,3803,nsw,19920305.0,6514580,98230
4902,Person 38,6,matthew,seddon,195.0,collingridge street,port 3 66,paralohie,3803,nsw,19920305.0,6514580,60658
254,Person 39,6,zachary,ebert,64.0,costello circuit,foxlea,mosman,2280,nsw,19390217.0,2473890,918
480,Person 39,6,zachsry,hoep,64.0,costello circuit,foxlea,mosman,2280,nsw,19390217.0,2473890,60610
2473,Person 39,6,zachary,hopd,64.0,costello circuit,up the vack,tongala,2280,nsw,19390217.0,2473890,21121
2503,Person 39,6,zachary,hope,64.0,costellozcircuit,foxlea,mosman,2280,nsw,19390217.0,2473890,20534
2561,Person 39,6,zachay,hope,64.0,costello circuit,foxzla,mosman,2280,nsw,19390217.0,2473890,48563
3064,Person 39,6,zachary,hope,64.0,costello circuit,foxlea,mosman,2280,nsw,19390217.0,2473890,56238
258,Person 40,6,holly,stoker,5.0,ballumbir street,chetwynd,kirrawee,6009,vic,19300121.0,8373818,80476
850,Person 40,6,holly,stoker,5.0,ballumbiw street,chetwyhd,kirrawee,6009,vic,19300121.0,8123371,20996
1370,Person 40,6,hokly,stoker,5.0,ballumbir street,chetwynd,kirrawee,6009,vic,19300121.0,8123371,59467
2571,Person 40,6,holly,stoker,5.0,ballumbir street,sunnyehikls,kirrawee,6090,vic,19300121.0,8123371,44178
4126,Person 40,6,holly,stoker,5.0,ballumbir street,chetwynd,kirrawee,6009,vic,19300121.0,8123371,46962
4785,Person 40,6,holly,stoker,5.0,ballumbkr street,,kirrawe,6009,vic,19300121.0,8123371,67329
260,Person 41,6,grayson,stanley,9.0,eaglemont retreat,,brighton-le-sands,4107,tas,19710422.0,5818249,12664
1211,Person 41,6,,stanlye,9.0,eaglemontpretreat,kimb erley,brighton-he-sands,4107,tas,19710422.0,5818249,39443
1822,Person 41,6,grayson,stanley,13.0,eaglemont retreat,kimberley,punchbowl,4108,tas,19710422.0,5818249,18490
