record_id,cluster_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
351,20,nathan,priest,363.0,banks street,manresa,rosehill,4570,act,19160503.0,4665603,65604
0,---,---,---,---,---,---,---,---,---,---,---,---
1360,21,madison,boxhall,10.0,kookabutra village,yandas treet,dapto,4703,sa,19170926.0,7262746,82148
4505,21,madison,boxhayol,10.0,,kookaburra village,dapto,4793,sa,19100412.0,7262746,89641
363,21,madison,boxha ll,10.0,yanda street,kookaburra village,dapto,4703,sa,19170926.0,7262746,80984
229,21,madison,boxhall,10.0,yanda street,kookaburra village,dapto,4703,sa,19170926.0,7262746,79619
0,---,---,---,---,---,---,---,---,---,---,---,---
204,22,jaco b,,24.0,downward place,banksia village,bunbury,4671,qld,19470530.0,3777070,28504
3565,22,jacob,kopievsky,24.0,downward place,banksia village,bunbury,4671,qld,19470530.0,3777070,53664
4308,22,jacob,kopievsky,24.0,downwardmplace,banksiavlilage,bunbury,4617,qld,19470530.0,3777070,1816
375,22,kopievsky,jacob,24.0,downward place,banksia village,bunbury,4671,qld,19470530.0,3777070,92804
1277,22,jacoxb,kopievsky,24.0,downward place,banksia village,bunbry,4671,qld,19470530.0,3777070,92475
3037,22,jacob,kopievsky,24.0,downward place,banksiaivllage,bunbjry,4674,qld,19470530.0,3777070,54305
0,---,---,---,---,---,---,---,---,---,---,---,---
217,23,joshua,morrison,17.0,beasley street,,tingalpa,5097,vic,19101123.0,1294692,77803
4749,23,joshua,morriosn,17.0,beasley street,,tingalpa,5097,vic,19101123.0,1294692,55571
391,23,joshua,morrison,17.0,beasle ystfeet,markool,,5097,vic,19101123.0,1294692,83432
0,---,---,---,---,---,---,---,---,---,---,---,---
395,24,ayla,benjamin,3.0,concept,bradfield street,tatura,2003,wa,,4452328,94931
116,24,ayla,benjamin,3.0,bradfield street,concept,tatura,2030,wa,,4452328,28911
4535,24,ayla,benjamin,3.0,bradfield s treet,concept,tatura,2030,wa,,4452328,93041
0,---,---,---,---,---,---,---,---,---,---,---,---
408,25,nell,rocheq,15.0,caley crescent,jalna (cnr barbato c corner,south perth,4870,vic,19071008.0,8899086,36536
4713,25,nell,roche,15.0,caley crescent,morris arcade,south perth,4870,vic,19071008.0,8899086,99780
1502,25,nell,rochr,15.0,caley crescent,morris arcade,southnperth,4870,vic,19071008.0,8899086,89239
382,25,nell,roche,15.0,caley crescent,morris arcade,goonellabah,4870,vic,19071008.0,8899086,40336
0,---,---,---,---,---,---,---,---,---,---,---,---
417,26,john,banelis,5.0,sexton street,glenhurst,auburn,3140,vic,19981006.0,8328210,34746
308,26,joh,banelis,5.0,sexton smtreet,glenhurst,auburn,3140,vic,19981006.0,8328210,66239
982,26,john,banelcs,5.0,sexton ftreet,glenhurst,auburn,3140,vic,19981006.0,8328210,59064
1209,26,john,banelis,5.0,sextonstreet,glenhrust,auburn,3140,vic,19981006.0,7246085,3407
1342,26,john,banelis,41.0,sexton street,glenhurst,auburn,3140,vic,19981006.0,8328210,88018
0,---,---,---,---,---,---,---,---,---,---,---,---
418,27,angus,rees,23.0,heato n place,panagni,new farm,6219,nsw,19220723.0,8576362,70486
2024,27,angus,rees,23.0,heaton place,pangani,new farm,6210,nsw,19220723.0,8576362,5812
3246,27,angus,rees,23.0,heaton place,pangani,new afrm,6210,nsw,19220723.0,8576362,15780
4274,27,angus,rees,23.0,heaton place,,new farm,6210,nsw,19220723.0,8576362,60057
4853,27,angus,reec,9.0,heaton pace,pangani,new farm,6210,nsw,19220723.0,8576362,87240
87,27,angus,rees,5.0,heatonnplace,pangani,new farm,6210,nsw,19220723.0,8576362,79226
0,---,---,---,---,---,---,---,---,---,---,---,---
310,28,samuel,,464.0,warragamba avenue,alton hills,,5086,qld,19120212.0,8866520,98579
2441,28,samuel,,446.0,warragamba avenue,alton hills,brunswick west,5086,qld,19120212.0,8866520,28862
3260,28,samudl,,44.0,warragamba avenue,alton hills,brunswick west,5085,qld,19120212.0,8866520,42549
422,28,samuel,,446.0,limestone avenue,alton heills,brunswick west,5086,qld,19120212.0,8866520,73624
0,---,---,---,---,---,---,---,---,---,---,---,---
2696,29,spicer,anika,39.0,melrosel drive,rmbe 770,view bank,2076,nsw,19861012.0,5087622,76480
202,29,anika,spicer,3.0,melrose drive,rmbe 770,view bank,2067,nsw,19861012.0,1434508,64595
2934,29,anika,spicer,3.0,melrose drive,rmbe 770,view avnk,2067,nsw,19861012.0,1434508,91701
430,29,anika,spicer,3.0,melr ose drive,rmbe z770,view bank,2067,nsw,19861012.0,1434508,3948
0,---,---,---,---,---,---,---,---,---,---,---,---
434,30,jasser,wessthorp,15.0,,,gwandalan,2770,sa,19310128.0,9654784,88718
4620,30,jasper,wessthorp,15.0,,,gwandalan,2770,sa,19310128.0,9654784,44646
386,30,jayde,wessthorp,15.0,,,,2770,sa,19310128.0,9654784,29376
0,---,---,---,---,---,---,---,---,---,---,---,---
2675,31,jake,burnell,34.0,bennelong crescent,gret amain,ivanhoe,5066,nsw,19360809.0,9639692,74769
2474,31,samuel,burnell,2.0,bennelong crescent,greta main,ivanhoe,5066,nsw,19170529.0,9639692,9201
293,31,jake,burnell,34.0,bennelong crescent,greta main,ivanhoe,5066,nsw,19170529.0,9639692,5623
437,31,jake,burnell,34.0,bennelong drescent,greta main,ivanhoe,5066,nsw,19170529.0,9639692,67567
0,---,---,---,---,---,---,---,---,---,---,---,---
104,32,silas,webbm,20.0,jacka crvscent,shopping centre,nambour,4306,vic,19580212.0,7373672,93689
4794,32,samir,webb,20.0,jacka crescent,shopping centre,nambour,4306,sic,19580212.0,7373672,11088
438,32,silas,webb,20.0,jacka crescent,shopping centre,nambour,4306,vic,19580212.0,7373672,58474
1975,32,silas,webb,,jacka crescent,shopping centre,namobur,4306,vic,19580212.0,7373672,14893
0,---,---,---,---,---,---,---,---,---,---,---,---
448,33,chelsea,banasevich,19.0,grieve bplace,bunderrjy,gawler east,2400,sa,19400330.0,8359979,52831
1376,33,chelsea,banasevich,142.0,grieve place,,boggakbilla,2400,sa,19400330.0,8359979,77779
2019,33,chelsea,banasevich,6.0,grieve place,thane house,gawler east,2400,sa,19400330.0,8359979,14653
4945,33,chelsea,banasevich,124.0,grieve place,,gawler east,2400,sa,19400330.0,8359979,42733
410,33,,banasevich,124.0,grieve place,,gawler east,2400,sa,19400330.0,8359979,16050
0,---,---,---,---,---,---,---,---,---,---,---,---
148,34,riley,wegemer,45.0,phillip avenue,walhalla,cremorne,3937,wa,19540621.0,9657253,86220
461,34,riley,wegemer,45.0,phillip a venue,walh alla,cremorne,3937,wa,19540621.0,9657253,25258
2591,34,riley,wegemer,45.0,phillip avenue,walhalla,cremorne,3937,wa,19540621.0,3741613,31382
0,---,---,---,---,---,---,---,---,---,---,---,---
1785,35,oliver,durnin,7.0,davies place,fairlane estate,paddyngton,2024,nsw,19380406.0,3902304,76260
323,35,oliver,durnin,7.0,davies place,fairlane estate,paddington,2024,nsw,19380406.0,3903404,30874
469,35,olier,durnin,7.0,davies place,fairlane estate,paddington,2042,nsw,19380406.0,3903404,42589
0,---,---,---,---,---,---,---,---,---,---,---,---
3233,36,sophie,nguyen,26.0,namoi plkace,,mount colah,2550,nsw,19701117.0,2122377,77288
1762,36,sophie,george,26.0,namoi place,,mount colah,2550,,19701117.0,2122377,57040
1550,36,sophie,nguyen,,namoipkace,kooraegulla,mount colah,2550,nsw,19701117.0,2122377,89125
3823,36,nguyen,sophie,26.0,,,mount colah,2505,nsw,19701117.0,2122377,57675
473,36,sopihe,nguyen,26.0,namoi place,,mount colah,2550,nsw,19701117.0,2122377,82492
92,36,sophie,nguyen,26.0,namoi place,,mount colah,2550,nsw,19701117.0,2122377,64482
0,---,---,---,---,---,---,---,---,---,---,---,---
4462,37,mikhvyla,hannagan,20.0,windradyen street,brentwood vlge,penshurst,2257,vic,19770501.0,1030769,69642
4820,37,mikhayla,hannagan,20.0,rupp place,brentwood vlge,penshurst,2257,vic,19770501.0,1030769,16020
278,37,mikhayla,hannaan,20.0,,brentwoodvlge,penshurst,2257,vic,19770501.0,1030769,84573
479,37,hannagan,mikhayla,20.0,rupp lace,brentwoo dvlge,penshurst,2283,vic,19770501.0,1030769,42393
0,---,---,---,---,---,---,---,---,---,---,---,---
480,38,zachsry,hoep,64.0,costello circuit,foxlea,mosman,2280,nsw,19390217.0,2473890,60610
2561,38,zachay,hope,64.0,costello circuit,foxzla,mosman,2280,nsw,19390217.0,2473890,48563
2503,38,zachary,hope,64.0,costellozcircuit,foxlea,mosman,2280,nsw,19390217.0,2473890,20534
2473,38,zachary,hopd,64.0,costello circuit,up the vack,tongala,2280,nsw,19390217.0,2473890,21121
3064,38,zachary,hope,64.0,costello circuit,foxlea,mosman,2280,nsw,19390217.0,2473890,56238
254,38,zachary,ebert,64.0,costello circuit,foxlea,mosman,2280,nsw,19390217.0,2473890,918
0,---,---,---,---,---,---,---,---,---,---,---,---
1796,39,amber,kexel,75.0,daintree crescent,,new farm,4061,vic,,9952722,72263
490,39,amber,kexel,9.0,daintree crescent,killuke,new farm,461,vic,,9952722,86441
300,39,amber,kexel,49.0,daintree crescent,,new farm,4061,vic,,9952722,28662
2710,39,kexel,amber,49.0,daintree crescent,,new farm,4061,vic,,9952722,83582
1145,39,amber,kexel,49.0,daintree crxescent,,new farm,4016,vic,,9952722,65283
2044,39,amber,kexel,49.0,daintree crescent,,new fam,4071,vic,,9952722,87614
0,---,---,---,---,---,---,---,---,---,---,---,---
3179,40,tiarna,loveolck,7.0,calder crescent,,pitt town,3810,nsw,19470413.0,1321051,20428
491,40,sophie,lovelock,7.0,centaurus street,,pitt town,3180,nsw,19470413.0,1321061,9297
183,40,sophie,lovelock,7.0,calder crescent,,pitt town,3810,nsw,19470413.0,1321061,71016
1534,40,sophie,lovelock,7.0,calder cre scent,,pitt town,3810,nsw,19470413.0,1321061,38707
3551,40,sophie,cotbin,7.0,calder crescent,,figtree,3810,nsw,19470413.0,1321061,23903
0,---,---,---,---,---,---,---,---,---,---,---,---
3170,41,georgia,pettigrove,5.0,sinclair street,pimda,prairie,2478,nsw,19231019.0,9695933,49626
937,41,pettigrove,georgia,5.0,sinclair street,pinda,prairie,2478,nsw,19231019.0,9695933,44081
494,41,georgia,pettigrove,5.0,sinclair street,pindf,prairie,2478,nsw,19231019.0,9695933,91555
15,41,georgia,pettigrove,5.0,sinclair street,pinds,prairei,2478,nsw,19231019.0,9695933,9516
3229,41,georgia,pettigrove,5.0,sinclair street,pinda,prairie,2478,nsw,19231019.0,9695933,79608
2814,41,georgia,pettigrove,5.0,sinclair street,,prairie,2478,nsw,19231019.0,9695933,35391
0,---,---,---,---,---,---,---,---,---,---,---,---
507,42,caitlin,gallerhir,42.0,lanley square,cash bar,rochedale south,2790,sa,19770108.0,3809831,96876
2821,42,caitlin,gallirhir,42.0,lanley square,cashbaxr,rochedale south,2790,sa,19621226.0,3809831,18366
467,42,caitlin,gallirhir,42.0,lanley square,cashbar,rochedale south,2790,sa,19770108.0,3809831,56561
0,---,---,---,---,---,---,---,---,---,---,---,---
3938,43,danbel,kluske,4.0,hawkesbury crescent,trito n units,oakhurst,3175,nsw,19820727.0,7413438,25794
1988,43,daniel,kluske,40.0,hawkesbury crescent,,oakhurst,3175,nsw,19820727.0,7413438,85065
285,43,daniel,kluske,40.0,hawkesbury crescent,tritonu nits,oakhurst,3175,nsw,19820727.0,7413438,54500
510,43,daniel,kluske,40.0,hawkesbury crescent,triton units,oakhurst,3175,nsw,19820727.0,7413438,36729
0,---,---,---,---,---,---,---,---,---,---,---,---
513,44,jean-claude,white,192.0,noel ryan garden,bowillia court,glengowrie,7018,nsw,19400918.0,9764411,30594
1723,44,jean-lcaude,white,192.0,noelryan garden,bowillia court,glengowrie,7018,nws,19400918.0,9764411,49317
3315,44,,white,17.0,noel rya n garden,bowilliac court,glengowrie,7018,nsw,19400918.0,9764411,1520
305,44,white,jean-claude,75.0,noel ryangarden,,glengorwie,7081,nsw,19400918.0,9764411,62827
0,---,---,---,---,---,---,---,---,---,---,---,---
517,45,alisa,marous,13.0,algan shreet,,ballina,3274,qld,19061125.0,7818366,83231
2794,45,alisa,marous,,algan street,belvedere,ballina,3274,qld,19061125.0,7818366,8026
442,45,alisa,marous,13.0,belvedere,algan street,baslina,3274,qld,19061125.0,7818366,27958
3355,45,alisa,marous,13.0,algan street,belvedere,bal lina,3274,qld,19061125.0,7818366,26655
4830,45,alisa,marous,13.0,algan street,belvedere,ballina,3274,qld,19061125.0,7818366,61352
0,---,---,---,---,---,---,---,---,---,---,---,---
4105,46,zane,wilkids,,britten-jones drive,cerbrus,coolaroo,6208,nsw,19471017.0,7918563,2766
530,46,zane,wilkins,,jervois street,cerbrus,coolaroo,6280,nsw,19471017.0,7918563,10220
314,46,wilkins,zanke,,jervois street,cerbrus,coolroo,6208,nsw,19471017.0,7918563,83897
914,46,zane,wilkins,,jervois street,cerbrus,coolaroo,6208,nsw,19471017.0,7918563,98408
0,---,---,---,---,---,---,---,---,---,---,---,---
67,47,isabelle,kaminskas,106.0,isis close,westholme,port augusta,2765,qls,19060622.0,5344955,97032
1674,47,isabelle,kaminskas,6.0,isis close,westholme,port augusta,2765,qld,19060622.0,5344955,97548
2223,47,isabelle,kaminskas,6.0,isis close,west holme,port augusta,2765,qld,19060622.0,3745351,34953
2512,47,kaminskas,isabelle,19.0,isis cqlose,westholme,port augusta,2765,qld,19060622.0,9770315,69084
535,47,isabelle,kaminskas,6.0,isis close,westholme,port aucusta,2765,qld,19060622.0,5344955,93924
4953,47,kaminskas,isabele,6.0,isis close,westholme,port qugusta,2765,qld,19060622.0,5344955,93813
0,---,---,---,---,---,---,---,---,---,---,---,---
196,48,lauren,paine,27.0,mcvey pace,yambira,helid on,2776,qld,19440502.0,4517134,2226
551,48,lauern,paine,27.0,mcvey olace,yambira,helidon,2463,qld,19404502.0,4517134,9773
3695,48,lauren,paine,23.0,mcvey pnlace,yambira,mallacoota,2463,wa,19440502.0,4517134,38026
2546,48,lauren,paine,27.0,mcvey p lace,yambira,helidon,2463,qld,19440502.0,4517134,44434
3922,48,lauren,paine,3.0,mcveyplace,yambira,helidon,2463,qld,19440502.0,4517134,85756
4530,48,lauren,paine,27.0,mcvey place,yambira,helidon,2463,qld,19440502.0,4517134,8297
0,---,---,---,---,---,---,---,---,---,---,---,---
553,49,laurdn,crea,18.0,city walk,sit 9,athol rpark,3081,vic,19960613.0,1646449,54863
2025,49,lauren,crea,18.0,city walk,sit 9,athol park,3081,vic,19960613.0,1646449,57884
301,49,crea,lauren,118.0,city walk,sit 9,atholp ark,3081,vic,19960613.0,1646449,61979
2573,49,lauren,crea,18.0,city walk,,athol park,3081,vic,19960613.0,1646449,39761
2483,49,lauren,crea,18.0,cith walk,sit 9,athol park,3081,vic,19960613.0,1646449,75005
632,49,lauren,crwea,18.0,sit 9,city walk,athol park,3081,vic,19960613.0,1646449,23794
0,---,---,---,---,---,---,---,---,---,---,---,---
554,50,nicola,collier,,schaffer place,mt sturt,sheidow park,2089,nsw,19420623.0,8536431,59303
3178,50,nicola,collier,,schaffer llace,mt sturt,,2089,nsw,19420623.0,8536431,46688
150,50,niocla,collier,,schaff eyr place,mt styrt,sheidow park,2098,nsw,19420623.0,8536431,36879
0,---,---,---,---,---,---,---,---,---,---,---,---
4416,51,isabella,hendricks,86.0,colborne lace,dog rock shopp ing centre,northr yde,2000,nsw,19770129.0,9899655,49017
2283,51,isabekla,hendricks,6.0,colborne place,dog rock shoppi ng centre,north rde,2900,nsw,19770129.0,9899655,68963
558,51,isabella,hendricks,86.0,colborne place,dog rock shopping centre,north ryde,2000,nsw,,9899655,91162
81,51,isabella,hendricks,86.0,colborne place,dog rock shopping centre,north ryde,2000,nsw,19770129.0,9899655,65865
4506,51,isabella,hendricks,86.0,colborne place,dog rock shopping centre,kingston,2000,nsw,19770129.0,9899655,88437
0,---,---,---,---,---,---,---,---,---,---,---,---
3426,52,jessica,smallacombe,43.0,eve pllace,,nunawading,5540,vic,19060713.0,6942191,67576
324,52,jessica,smallacombe,43.0,eve pelace,ellerslee,nunawading,5504,vic,19060713.0,6942191,47634
2541,52,jessica,smallacombe,43.0,eve place,ellerslee,nunawading,5540,vic,19060713.0,6942191,40693
561,52,jessica,smallacombe,43.0,eve place,ellerlee,lower chittering,5540,vic,19060713.0,6942191,51348
3931,52,jessica,smallacombe,34.0,eve place,ellersxlee,nunawading,5540,vic,19060713.0,6942191,57498
0,---,---,---,---,---,---,---,---,---,---,---,---
133,53,hollv,shepherd,3.0,stillwell place,elstoh,albion park rail,6201,vic,19800323.0,4620818,98214
4497,53,holly,shepherd,33.0,stillwel l place,elston,albion park rail,6210,vic,19800323.0,4620818,48909
563,53,holly,shepherd,3.0,stillwell place,elton,albion park rail,6210,vic,19800323.0,4620818,53869
2524,53,holly,shepherd,3.0,stillwell place,elston,albion park rail,6201,vic,19800323.0,4620818,60767
990,53,holly,shepherd,3.0,stillwell place,elston,albion park rail,6210,vic,19800323.0,4620818,41728
0,---,---,---,---,---,---,---,---,---,---,---,---
568,54,michael,laveryy,6.0,lenehan street,senn ocke,suffolk park,2208,vic,19631213.0,9807797,71653
739,54,michael,laverty,6.0,lenehan street,sennocke,suffolk park,2208,vic,19631213.0,9807797,69463
120,54,michael,laverty,6.0,hytten place,sennockke,suffolk park,2208,vic,19631213.0,9807797,70498
4956,54,micheal,laverty,6.0,lenehan street,sen nocke,suffol kpark,2208,vic,19631213.0,9897797,88323
0,---,---,---,---,---,---,---,---,---,---,---,---
2929,55,shaun,mccarthy,3.0,alfred hilbl drive,hold fas t shores,mortlake,2032,wa,19630818.0,6220857,17916
570,55,millane,mccathy,3.0,alfred hill drive,hold fast shores,mortlake,2032,wa,19630818.0,6220857,30817
3283,55,millane,mccarthy,3.0,alfredhil drive,hold fastshores,mortlake,2032,wa,19630818.0,6220857,24001
175,55,millane,mccarthy,3.0,alfred hill drive,hold fast shores,mortlake,2032,wa,19630818.0,6220857,59914
0,---,---,---,---,---,---,---,---,---,---,---,---
224,56,ebpony,,90.0,david street,,long jetty,6630,nsw,19410614.0,7166687,92740
