given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,id
timothy,neville,21,fihelly street,villa 2,st lucia,3108,wa,19781123,1955388,78988
charlei,ebert,21,brewste r place,summerdale medical centre,frankston,4570,vic,19711020,3939901,34245
bianca,marlow,34,dietricho place,,alice springs,5065,wa,19980201,4351633,20020
kayne,priest,48,temperley street,sunrest squd,north nrarabeen,3995,wa,19831118,1585410,48205
madison,boxhall,10,yanda street,kookaburra village,dapto,4703,sa,19170926,7262746,79619
erin,birchby,24,burrowes place,elston,creswick,4721,vic,19461022,7298611,46039
jasmine,sach,17,goble s treet,ren own,gawler west,2031,nsw,19791109,2530372,21900
jack,brock,1,duhig place,,boyanup,2484,nsw,19800422,8460078,80428
hugo,walkington,51,oxley street,karoo,oak park,6026,nsw,19150227,8296721,4983
,whiteley,17,mcluckie crescent,kintrye,malvern east,4810,vic,19800908,2774642,49367
cameron,unyland,25,chewings street,underwood,broken hill,6109,qld,19980904,2071902,74754
jared,wytkon,61,belfield crescent,rowethorpe,bundaberg,5081,,19831025,2988806,33864
danielle,millar,6,stanfield close,rosetta village,blackburn north,3102,qld,19991007,1611706,38697
charlotte,carbone,12,peppin place,,albury,4559,sa,19171126,4856046,21905
matthew,seddon,195,collingriddge street,port 366,paralowie,3830,nsw,19920305,6514580,51877
any,miteff,68,john clelad crescent,barkom,blackheath,2036,qld,19160228,2583901,24489
jessica,wasley,53,eyre street,milmilland,cronulla,2564,wa,19931004,3209589,31967
keely,dixon,2,lacey place,briars meadows,barrington,5087,nsw,19380328,5477511,1610
matthew,brookhouse,3,goodparla street,timdoolin,highett,2170,nsw,19101115,6804612,22517
,rundle,101,eaglemont retreat,laalgarths,prospect,6168,qld,19070103,7881088,34885
,frgh,62,matina street,sun city r esort,ascot park,4107,wa,19760203,9419843,138
olivia,cecotti,4,dobell circuit,,cabramatta,6152,vic,19580919,6701777,25836
brianna,morrison,4,burston place,esk f airm,seaton,2566,vic,19131203,2277933,12561
sarah,greenw,37,kelleway avenue,allandale,marlesgon,6014,qld,19140908,6213427,90408
jenna,pasalic,679,tarana street,mallanganee,osborne,4342,vic,19541124,7730932,47025
kylie,koziol,16,wolff crescent,brentwood vlge,kurrajong heights,3135,vic,19320709,9336502,76339
samuel,walls,74,shoalhaven avenue,clearc reek,racevieh,3223,nsw,19370409,4859969,34507
christopher,behnke,378,troughton street,,geranium,3496,qld,19080930,7045937,27318
alexandra,clarke,184,sadlier srreet,yakatoon,westbrook,2756,qld,19190129,2749367,2986
zachary,ebert,64,costello circuit,foxlea,mosman,2280,nsw,19390217,2473890,918
zarlia,lowe,48,van raalte place,hd blanche sec 28,cabramatta,3192,wa,19730726,2720933,1248
jasmine,morrison,16,methven place,armidale,point lonsdale,3211,wa,19760810,1195414,66758
joshua,felmingham,46,fullagar crescent,mariner views,evandsle,2229,nsw,19810315,8249572,50971
holly,stoker,5,ballumbir street,chetwynd,kirrawee,6009,vic,19300121,8373818,80476
nicilas,fogg,48,wilshire street,safar i lodge,lemonhrove,2011,,19901127,3325932,59193
grayson,stanley,9,eaglemont retreat,,brighton-le-sands,4107,tas,19710422,5818249,12664
liam,grubb,63,rowellsplace,,kotara south,3002,qld,19660416,6643838,90606
toby,garran,8,mcguiness place,the tops,miami,3125,qld,19520817,8221456,62347
christian,walch,3,coombe street,warraview,plumpotn,5008,nsw,19930222,1670806,53418
nataoia,georfe,22,woollum s treet,glenview,morwell,6065,wa,19540306,7746839,74762
connor,moerland,38,arthur circle,red cross units,greenwood,2680,wa,19351222,6169516,45896
jessica,mac kinder,15,wright place,,lavender bay,4727,sa,19191217,1762210,71574
hayley,white,1,hallenc lose,chelsez house,oran ge,2176,sa,19810909,4247423,35608
amber,white,31,moodie street,degafelga,eaton,2042,nsw,19120819,2839026,36787
jaxin,helling,13,donald place,the mount,riverhills,4214,vic,19141026,3066240,42595
benjamin,presley,85,namatjira drive,guest village (cnr bullcreek d drive,sunnybank,2320,wa,19831208,5671732,25978
keeley,felmingham,32,angliss place,cranbrook,annandale,2670,nsw,19860811,5148092,15756
kaysey,kon,1,ohiostation,gaylard place,,5009,vic,19600828,8475924,86315
spyke,karlsen,4,northam street,aptmt 206,southbank,2329,aw,19110129,5567470,92678
keziah,parr,20,clift crescent,brookvale,murphys creek,2761,nsw,19550103,3697304,48263
kyle,malin,318,namadgi circuit,old hillside,mooroolbark,3912,wa,19091113,3977557,17053
roisin,bishop,32,manning street,rosehlen,mount colah,2902,vic,19481220,9469770,65435
,blyde,,torrens street,moorillyah,port augusta,3620,vic,19650621,8787550,95378
mikhayla,hannaan,20,,brentwoodvlge,penshurst,2257,vic,19770501,1030769,84573
oliver,campbell,124,moon place,,thornbury,4103,vic,19681119,8352510,64204
lee,zogopoulos,61,woronorastreet,tourist park,coombabah,6107,nsw,19200609,3239855,87608
joshua,clarke,25,kingsford smith drive,,taigum,6108,vic,19961109,1596405,69109
vincen,luke,,du faur sctreet,ehwk,rose bay,4122,vic,19731223,5930785,56365
lachlq-njohn,rivers,5,perier place,oakdale,corio,4313,nsw,19960904,8009557,80197
hana,weaver,8,colvin street,,albury,6085,,19181111,9473856,57957
daniel,kluske,40,hawkesbury crescent,tritonu nits,oakhurst,3175,nsw,19820727,7413438,54500
kiandra,,2,gatliff place,rustenburg sth,girgarre,3995,qld,19801125,3328205,19179
grace,futcher,70,burt street,clear creek,mentone,6023,nsw,19361127,2331344,34740
melinda,sherin,9,conley d rive,,westmeaodws,3226,vic,19511104,9615557,93674
samara,willing,,,coolzinda,concord,3765,nsw,19600828,1045315,17927
benjamin,brakin,12,leahy close,elizabeth residential village,dover heights,2164,nsw,19240924,9191751,25093
lucy,shelley,43,longstaff street,agarabi,dover heights,4152,nsw,19100324,4322420,81199
shana,kowald,9,locn 24,dookie street,port macquarie,2568,sa,19200305,2522502,21278
jake,burnell,34,bennelong crescent,greta main,ivanhoe,5066,nsw,19170529,9639692,5623
coby,berry,72,heagney crescent,,cremorne,3078,vic,19260518,1390881,36102
,siemers,21,hopegood rplace,,auburn,5700,vic,19350122,2557455,72396
blake,bristow,12,archibald street,the willows,cleveland,2184,,19540515,9773077,21617
chloe,woodmansee,,gollan street,ettrick,renown park,4066,nsw,19181016,7475748,12334
alec,mason,18,barrie r treet,sec 443 bellamour,park hplme,2029,wa,19061024,5623275,41599
trentk,brni,40,madigan street,,ekibin,3196,nsw,19700723,7357958,45615
amber,kexel,49,daintree crescent,,new farm,4061,vic,,9952722,28662
crea,lauren,118,city walk,sit 9,atholp ark,3081,vic,19960613,1646449,61979
jade,dixon,202,leven street,francis ch ambers,toronto,3228,nsw,,5898510,54247
emiily,leslie,37,medley street,tamar arcade,athelstone,4380,sa,19900328,5816513,67942
george,riddell,79,knoke avenue,bonnie doon,manly vale,4405,sa,19360413,2523840,23534
white,jean-claude,75,noel ryangarden,,glengorwie,7081,nsw,19400918,9764411,62827
christian,berryman,3,coxstreet,bays hospital,sunshine,2513,qld,19890812,5492745,62472
ethan,vincdnt,2,o'connell street,canberra hse,urana,5108,tas,19510914,5305035,62325
joh,banelis,5,sexton smtreet,glenhurst,auburn,3140,vic,19981006,8328210,66239
hannah,bullock,115,mcaulay place,wathonga,salt ash,810,vic,19671103,9343222,56208
samuel,,464,warragamba avenue,alton hills,,5086,qld,19120212,8866520,98579
christian,colemn,312,anderson street,ngere,north sydney,2486,nsw,19851226,3498401,89887
jackson,prestia,29,priddle street,mirilla,graceville,3012,qld,19260601,5613219,65496
eliza,tiffin,8,brawn place,unt 19a,northbridge,2017,vic,19131019,9311089,79775
wilkins,zanke,,jervois street,cerbrus,coolroo,6208,nsw,19471017,7918563,83897
samantha,barol,11,albermarle place,young retirement village,clayton,3199,sa,19920307,9185902,76473
reece,lyden,4,cobar p lace,deergarden caravn park,marluan,2002,sa,19881122,2283302,9843
benjamin,mugo,302,peat plcae,arlington,franwton,4510,nsw,19101008,5994946,17356
sarah,green,37,kelleway avenue,allandale,marleston,6014,qld,19140908,6213427,5703
